parameter,R2,RMSE,chi_squared,MMRE
Omega_m,0.7992621660232544,0.05012337320142229,1.0283939,0.14787441
Omega_b,0.003516077995300293,0.01200647528010917,1.0645758,0.21170403
h,0.06552571058273315,0.11618819134359304,1.1904917,0.14916953
n_s,0.22566455602645874,0.1005036193144938,1.0980858,0.085034885
sigma_8,0.7829792499542236,0.05549861975123643,1.2266806,0.056033954
