parameter,R2,RMSE,chi_squared,MMRE
Omega_m,0.7879102826118469,0.05360367207670253,1.045755,0.1676261
Omega_b,-0.0035353899002075195,0.012260854793473568,1.1112951,0.23624977
h,0.04200214147567749,0.10471986316651614,0.83477473,0.13725051
n_s,0.24604111909866333,0.09260830990716422,0.88603354,0.07995865
sigma_8,0.7552117109298706,0.05740493740323936,0.9520845,0.055313423
