parameter,R2,RMSE,chi_squared,MMRE
Omega_m,0.8051463961601257,0.05137939036218178,1.0947313,0.15736094
Omega_b,-0.03391313552856445,0.012445043944540204,1.1730413,0.24347763
h,0.08045542240142822,0.10259665279743732,0.8513382,0.13378188
n_s,0.25367873907089233,0.09213805206041836,1.0213323,0.078694776
sigma_8,0.7645798325538635,0.05629577355481236,1.5223666,0.055358972
