parameter,R2,RMSE,chi_squared,MMRE
Omega_m,0.7940819263458252,0.052818000238291744,1.3864421,0.15107198
Omega_b,-0.04942357540130615,0.012538044118859767,1.2262936,0.2416836
h,0.08422833681106567,0.10238596067569646,0.83940417,0.13262603
n_s,0.2376178503036499,0.09312418338078358,1.0546821,0.079036355
sigma_8,0.764960527420044,0.05625023394774424,1.7940888,0.053757027
